V1,V2
H.D. (Hilda Doolittle),"Gray, Cecil"
H.D. (Hilda Doolittle),Great Britain Admiralty
H.D. (Hilda Doolittle),"Gregory, Horace and Marya Zaturenska"
H.D. (Hilda Doolittle),"Gregory, Patrick"
H.D. (Hilda Doolittle),"Gunther, Alfred"
H.D. (Hilda Doolittle),"Hart, Ellen"
H.D. (Hilda Doolittle),"Henderson, Gerald"
H.D. (Hilda Doolittle),"Herf, Bertha"
H.D. (Hilda Doolittle),"Herr, Mary E."
H.D. (Hilda Doolittle),"Herring, Robert"
H.D. (Hilda Doolittle),"Herring, Robert"
H.D. (Hilda Doolittle),"Hesse, Hermann"
H.D. (Hilda Doolittle),"Hesse, Marulla"
H.D. (Hilda Doolittle),"Hesse, Ninon"
H.D. (Hilda Doolittle),"Heydt, Erich"
H.D. (Hilda Doolittle),"Hicks, Margery"
H.D. (Hilda Doolittle),"Hipskund, Guin Doolittle"
H.D. (Hilda Doolittle),"Horner, David"
H.D. (Hilda Doolittle),"Horner, Isaline Blew"
H.D. (Hilda Doolittle),Houghton Mifflin Company
H.D. (Hilda Doolittle),"Howard, Agnes Seidel"
H.D. (Hilda Doolittle),"Howard, Clifford"
H.D. (Hilda Doolittle),"Howard, Hattie"
H.D. (Hilda Doolittle),"Howard, Hildegarde"
H.D. (Hilda Doolittle),"Hughes, Molly"
H.D. (Hilda Doolittle),"Hughes, Randolph"
H.D. (Hilda Doolittle),Institute of Contemporary Arts
H.D. (Hilda Doolittle),"Jenkins, Laura Wolle"
H.D. (Hilda Doolittle),"Jordan, Barbara"
H.D. (Hilda Doolittle),"Jordan, Viola"
H.D. (Hilda Doolittle),"Kash, Christine"
H.D. (Hilda Doolittle),"Katibah, Helen Doolittle"
H.D. (Hilda Doolittle),"Keeney, Sue Dorothy"
H.D. (Hilda Doolittle),"La Marche-Sacriste, Louis"
H.D. (Hilda Doolittle),"Latimer, Ronald Lane"
H.D. (Hilda Doolittle),"Laughlin, James"
H.D. (Hilda Doolittle),"Lawrence, D. H."
H.D. (Hilda Doolittle),"Leader, Ethel"
H.D. (Hilda Doolittle),"Leslie, Doris"
H.D. (Hilda Doolittle),"Levertov, Denise"
H.D. (Hilda Doolittle),"Lewin, Blanche"
H.D. (Hilda Doolittle),"Lewison, Ludwig"
H.D. (Hilda Doolittle),"Little, Neil"
H.D. (Hilda Doolittle),London Library
H.D. (Hilda Doolittle),"Long, Doris"
H.D. (Hilda Doolittle),"Longmans, Green, and Company"
H.D. (Hilda Doolittle),"Lowenfels, Walter"
H.D. (Hilda Doolittle),"Ludeke, Henry"
H.D. (Hilda Doolittle),"Lyons, Islay"
H.D. (Hilda Doolittle),"McAlmon, Robert"
H.D. (Hilda Doolittle),"Mackenzie, Faith Compton"
H.D. (Hilda Doolittle),Macmillan and Company
H.D. (Hilda Doolittle),"Macpherson, Eileen"
H.D. (Hilda Doolittle),"Macpherson, John"
H.D. (Hilda Doolittle),"Macpherson, Kenneth"
H.D. (Hilda Doolittle),"Martinelli, Sheri"
H.D. (Hilda Doolittle),"Mase, Georgina"
H.D. (Hilda Doolittle),"Masefield, John"
H.D. (Hilda Doolittle),"Mayne, Ethel Colburn"
H.D. (Hilda Doolittle),"Monnier, Adrienne"
H.D. (Hilda Doolittle),"Moore, Marianne"
H.D. (Hilda Doolittle),"Moore, Mary Warner"
H.D. (Hilda Doolittle),"Moore, Merrill"
H.D. (Hilda Doolittle),"Murray, D. L."
H.D. (Hilda Doolittle),"Nagy, Niclas Christoph de"
H.D. (Hilda Doolittle),"Norman, Charles"
H.D. (Hilda Doolittle),Oxford University Press
H.D. (Hilda Doolittle),"Parkham, Nellie E."
H.D. (Hilda Doolittle),"Patmore, Brigit"
H.D. (Hilda Doolittle),"Pearson, Norman Holmes"
H.D. (Hilda Doolittle),"Pearson, Susan"
H.D. (Hilda Doolittle),"Peiter, Annie Jenkins"
H.D. (Hilda Doolittle),"Plank, George"
H.D. (Hilda Doolittle),"Plank, George"
H.D. (Hilda Doolittle),"Pound, Dorothy"
H.D. (Hilda Doolittle),"Pound, Ezra"
H.D. (Hilda Doolittle),"Pratt, Margaret Snively"
H.D. (Hilda Doolittle),"Pulsifer, Susan"
H.D. (Hilda Doolittle),"Rachewiltz, Mary de"
H.D. (Hilda Doolittle),"Richardson, Dorothy"
H.D. (Hilda Doolittle),"Rogers, William D."
H.D. (Hilda Doolittle),"Rudge, Olga"
H.D. (Hilda Doolittle),"Russell, Alys"
H.D. (Hilda Doolittle),"Russell, Peter"
H.D. (Hilda Doolittle),"Sackville-West, Vita"
H.D. (Hilda Doolittle),"Sarton, May"
H.D. (Hilda Doolittle),"Scarlett, Marie"
H.D. (Hilda Doolittle),"Scarlett, Olive"
H.D. (Hilda Doolittle),"Schaffner, John"
H.D. (Hilda Doolittle),"Schaffner, Perdita"
H.D. (Hilda Doolittle),"Schmideberg, Melitta"
H.D. (Hilda Doolittle),"Schmideberg, Walter"
H.D. (Hilda Doolittle),"Schnack, Elizabeth"
H.D. (Hilda Doolittle),"Schur, Max"
H.D. (Hilda Doolittle),"Serbanne, Claude"
H.D. (Hilda Doolittle),"Shakespear, Olivia"
H.D. (Hilda Doolittle),"Sinclair, May"
H.D. (Hilda Doolittle),"Singleton, Elizabeth"
H.D. (Hilda Doolittle),"Sitwell, Edith"
H.D. (Hilda Doolittle),"Sitwell, Osbert"
H.D. (Hilda Doolittle),"Sitwell, Sacheverell"
H.D. (Hilda Doolittle),"Smith, Logan Pearsall"
H.D. (Hilda Doolittle),Society of Authors
H.D. (Hilda Doolittle),"Street, Florence Prince"
H.D. (Hilda Doolittle),Suhrkamp Verlag
H.D. (Hilda Doolittle),"Sutcliffe, Rosemary"
H.D. (Hilda Doolittle),"Swann, Thomas Burnett"
H.D. (Hilda Doolittle),Theodore Goddard and Company
H.D. (Hilda Doolittle),"Trumper, Jeanette K."
H.D. (Hilda Doolittle),"Untermeyer, Jean Starr"
H.D. (Hilda Doolittle),"Untermeyer, Louis"
H.D. (Hilda Doolittle),"Urzidil, Johannes"
H.D. (Hilda Doolittle),"Van Doren, Mark"
H.D. (Hilda Doolittle),"Volkert, Elsie"
H.D. (Hilda Doolittle),"Waluga, Joan Leader"
H.D. (Hilda Doolittle),"Weaver, Harriet Shaw"
H.D. (Hilda Doolittle),"Wellesley, Dorothy"
H.D. (Hilda Doolittle),"White, Eric Walter"
H.D. (Hilda Doolittle),"Wilder, Thornton"
H.D. (Hilda Doolittle),"Williamson, Lydia Hunn"
H.D. (Hilda Doolittle),"Wolff, Kurt"
H.D. (Hilda Doolittle),"Wolle, Francis"
H.D. (Hilda Doolittle),"Wulfing, Sulamith"
H.D. (Hilda Doolittle),"Wunderling, Carrie, Martha Wunderling, Ruth Young, and Michael Yudkin"
"Pound, Ezra","Abbott, Beatrice"
"Pound, Ezra","Abercrombie, Lascelles"
"Pound, Ezra","Abernethy, Milton A."
"Pound, Ezra",Academy of American Poets
"Pound, Ezra",Academy of Political Science (New York)
"Pound, Ezra",Action
"Pound, Ezra",Action Nouvelle
"Pound, Ezra","Adamic, Louis"
"Pound, Ezra","Adams, B. M. G."
"Pound, Ezra","Adelman, George"
"Pound, Ezra",The Adelphi
"Pound, Ezra","Adivar, Halide Edib"
"Pound, Ezra","Adolf, Gustav"
"Pound, Ezra","Agee, James"
"Pound, Ezra",Agenda
"Pound, Ezra","Agresti, Olivia Rossetti"
"Pound, Ezra","Aiken, Conrad"
"Pound, Ezra","Aitken, D. F."
"Pound, Ezra","Albatross Press, The"
"Pound, Ezra",Alcestis; a poetry quarterly
"Pound, Ezra","Aldington, Hilda"
"Pound, Ezra","Aldington, Richard"
"Pound, Ezra","Aldrich, Amey"
"Pound, Ezra","Alexander, Michael"
"Pound, Ezra","Alhesse, Barbara"
"Pound, Ezra","Al-Khal, Yousuf"
"Pound, Ezra","Allen, Gov. Oscar K."
"Pound, Ezra","Allen (George) and Unwin, Ltd. (London)"
"Pound, Ezra","Alvarez, Alfred"
"Pound, Ezra","Amaral, José Vázquez"
"Pound, Ezra","L'Ambrosiano, Milan"
"Pound, Ezra","Amdur, Alice Steiner"
"Pound, Ezra",America (New York)
"Pound, Ezra",American Academy of Political and Social Science
"Pound, Ezra",American Book Company
"Pound, Ezra",American Council of Learned Societies
"Pound, Ezra",American Documentation Institute
"Pound, Ezra",American Liberty League
"Pound, Ezra",American Mercury
"Pound, Ezra",American Printing House for the Blind
"Pound, Ezra",The American Quarterly
"Pound, Ezra",The American Review
"Pound, Ezra",The American Spectator
"Pound, Ezra","Amery, Col. J. S."
"Pound, Ezra","Ames, Herman Vandenburg"
"Pound, Ezra",Ana eccetera
"Pound, Ezra","Anceschi, Luciano"
"Pound, Ezra","Andermacker, Pola and Gino"
"Pound, Ezra","Anderson, Margaret C."
"Pound, Ezra","Andreani, Roberto"
"Pound, Ezra","Andrews, G. N."
"Pound, Ezra","Andrews, Wayne"
"Pound, Ezra","Angeli, Helen Rossetti"
"Pound, Ezra","Angell, Norman, Sir"
"Pound, Ezra","Angleton, James J."
"Pound, Ezra","Angoff, Charles"
"Pound, Ezra","Angold, J. P."
"Pound, Ezra","de Angulo, Jaime"
"Pound, Ezra","Ankenbrand, Frank"
"Pound, Ezra","Annesley, Claire, Lady"
"Pound, Ezra","Antheil, George"
"Pound, Ezra","Anthony, Frank"
"Pound, Ezra",Anti Europa
"Pound, Ezra","Anzilotti, Rolando"
"Pound, Ezra","Aponte, Salvatore"
"Pound, Ezra",Aquila Press
"Pound, Ezra","Aragon, Louis"
"Pound, Ezra","Arche, Verlag der"
"Pound, Ezra","Archer, Ray"
"Pound, Ezra",Arena
"Pound, Ezra","Armstrong, A. Joseph"
"Pound, Ezra","Arnold, Thurman"
"Pound, Ezra",Arrow Editions
"Pound, Ezra",The Aryan Path
"Pound, Ezra","Ashwin, E. Allen"
"Pound, Ezra",Associazone Internationale di Poesia
"Pound, Ezra",Athenaeum
"Pound, Ezra",The Atlantic Monthly
"Pound, Ezra",Attack
"Pound, Ezra",Audience
"Pound, Ezra","Aurrece, Daniel"
"Pound, Ezra","Austin, Mary"
"Pound, Ezra",Authors Club (New York)
"Pound, Ezra","Avedon, Richard"
"Pound, Ezra",Azienda Autonoma di Soggiorno e Curo di Merano
"Pound, Ezra","Baccelli, Amalia"
"Pound, Ezra","Backus, Oswald"
"Pound, Ezra",Bacigalupo family
"Pound, Ezra","Bacon, Frank"
"Pound, Ezra","Bailey, David Algar"
"Pound, Ezra","Baker, Carlos"
"Pound, Ezra","Baker, Jacob"
"Pound, Ezra","Bandini, Pilo"
"Pound, Ezra","Bankhead, John H."
"Pound, Ezra","Barblan, Oscar"
"Pound, Ezra","Bard, Josef"
"Pound, Ezra","Bardi, P. M. (Pietro Maria)"
"Pound, Ezra","Bardsley, W. L."
"Pound, Ezra","Barnard, Mary"
"Pound, Ezra","Barnes, Djuna"
"Pound, Ezra","Barnes, Giacomo (""Jim"")"
"Pound, Ezra","Barney, Natalie Clifford"
"Pound, Ezra","Baroni, Franco"
"Pound, Ezra","Barral, Jean"
"Pound, Ezra","Barry, Iris"
"Pound, Ezra","Barton, Maj. H. G."
"Pound, Ezra","Barulli, Brenno"
"Pound, Ezra","Barzun, Henri-Martin"
"Pound, Ezra","Basso, Walther Armando"
"Pound, Ezra",Basso & Cuniberti
"Pound, Ezra","Bassotti, Franco"
"Pound, Ezra","Bates, Margaret Jane"
"Pound, Ezra","Baxter, Viola"
"Pound, Ezra","Bayes, Ronald H."
"Pound, Ezra","Beach, Sylvia"
"Pound, Ezra","Beard, Charles Austin"
"Pound, Ezra","Beaudoin, Kenneth Lawrence"
"Pound, Ezra","Beck, Julian"
"Pound, Ezra","Becker, John J."
"Pound, Ezra","Bedford, Agnes"
"Pound, Ezra","Bedford, Hastings William Sackville Russell (Marquis of Tavistock)"
"Pound, Ezra","Beekman, Frederick W."
"Pound, Ezra","Beerbohm, Max, Sir"
"Pound, Ezra","Beevers, John L."
"Pound, Ezra","Belgion, Montgomery"
"Pound, Ezra","Bell, Herbert Clifford Francis"
"Pound, Ezra","Bell, Louise F."
"Pound, Ezra","Benatti, Ina"
"Pound, Ezra","Benét, William Rose"
"Pound, Ezra","Bengtson, Goran"
"Pound, Ezra","Benkard, Ann S."
"Pound, Ezra","Berman, Louis"
"Pound, Ezra","Bernabei, Gilberto"
"Pound, Ezra","Bernobini, Paolo"
"Pound, Ezra","Berry, John"
"Pound, Ezra","Berryman, John"
"Pound, Ezra","Berti, Luigi"
"Pound, Ezra","Besseler, Heinrich"
"Pound, Ezra","Beveridge, Ray"
"Pound, Ezra","Bevione, Giuseppe"
"Pound, Ezra","Bianchi, Gabriele"
"Pound, Ezra","""Bibi-la-Bibiste"""
"Pound, Ezra","Biddle, Francis"
"Pound, Ezra","Biddle, George"
"Pound, Ezra","Bierce, Ambrose"
"Pound, Ezra","Biggins, C. A."
"Pound, Ezra","Bilenchi, Romano"
"Pound, Ezra","Bing, Gladys"
"Pound, Ezra","Binyon, Laurence"
"Pound, Ezra",The Biosophical Review
"Pound, Ezra","Birch, Catharine"
"Pound, Ezra","Birch, Robert"
"Pound, Ezra","Bird, Otto"
"Pound, Ezra","Bird, William"
"Pound, Ezra","Bird, William"
"Pound, Ezra","Bishop, Helen"
"Pound, Ezra","Bishop, John Peale"
"Pound, Ezra","Black, John"
"Pound, Ezra","Blackburn, Paul"
"Pound, Ezra","Blackmur, R. P. (Richard P.)"
"Pound, Ezra",Black Sun Press
"Pound, Ezra","Blackwell, B. H., Ltd. (Oxford)"
"Pound, Ezra","Blampied, Edmund"
"Pound, Ezra","Blankenship, Paul"
"Pound, Ezra","Blom, Eric"
"Pound, Ezra",Blue Ridge Mountain Press
"Pound, Ezra",Blues; a magazine of new rhythms
"Pound, Ezra","Blunt, Anthony, Sir"
"Pound, Ezra","Blunt, Wilfred Scawen"
"Pound, Ezra","Boardman, Adele"
"Pound, Ezra","Boatwright, Howard"
"Pound, Ezra","Bocconi Luigi, Universita Commerciale"
"Pound, Ezra","Bock, Robert L."
"Pound, Ezra","Bodini, Vittorio"
"Pound, Ezra",Bodley Head
"Pound, Ezra","Bollea, Pierlisa"
"Pound, Ezra","Bone, Homer Truett"
"Pound, Ezra",Boni and Liveright
"Pound, Ezra",Books Abroad; an international literary quarterly
"Pound, Ezra","Book Club, The"
"Pound, Ezra","Borah, William E."
"Pound, Ezra","Borgatti, Renata"
"Pound, Ezra","Borghese, J. Valerio"
"Pound, Ezra","Borsani, E."
"Pound, Ezra","Bosanquet, Theodora"
"Pound, Ezra","Bose, Buddhadeva"
"Pound, Ezra","Bosschère, Jean de"
"Pound, Ezra",Boston Herald
"Pound, Ezra","Bottai, Guiseppe"
"Pound, Ezra","Bottome, Phyllis"
"Pound, Ezra","Bottrall, Ronald"
"Pound, Ezra","Boultwood, Alban"
"Pound, Ezra","Bowen, Catherine Drinker"
"Pound, Ezra","Bowen, Stella"
"Pound, Ezra","Bowers, Claude G."
"Pound, Ezra","Boyle, Kay"
"Pound, Ezra","Boys, Henry"
"Pound, Ezra","Bradley, William Aspinwell"
"Pound, Ezra","Brancusi, Constantin"
"Pound, Ezra","Brandt, Elisabeth"
"Pound, Ezra","Brannon, Linn Mapel"
"Pound, Ezra","Brant, Irving"
"Pound, Ezra","Breasted, James Henry"
"Pound, Ezra","Breeskin, Adelyn Dohme"
"Pound, Ezra","Brenton, Arthur"
"Pound, Ezra","Brewer, Joseph"
"Pound, Ezra","Bridges, Robert"
"Pound, Ezra","Bridson, D. G."
"Pound, Ezra","Brinnin, John Malcolm"
"Pound, Ezra",British Broadcasting Corporation
"Pound, Ezra",British Italian Bulletin
"Pound, Ezra",British Union of Fascists
"Pound, Ezra","Britnieva, Mary"
"Pound, Ezra","Brodzky, Horace"
"Pound, Ezra","Broletto, Como"
"Pound, Ezra","Brokaw, Vaughn Bachman"
"Pound, Ezra","Bronner, Milton"
"Pound, Ezra","Bronowski, Jacob"
"Pound, Ezra","Brookhart, Smith W."
"Pound, Ezra","Brooks, Collin"
"Pound, Ezra","Brooks, Romaine"
"Pound, Ezra","Brooks, Van Wyck"
"Pound, Ezra","Brown, Ashley"
"Pound, Ezra","Brown, Edmund R."
"Pound, Ezra","Brown, John Lackay"
"Pound, Ezra","Brown, Robert Carlton"
"Pound, Ezra","Brown, Theodore"
"Pound, Ezra","Browne, Ken"
"Pound, Ezra","Bruce Humphries, Inc. (Boston)"
"Pound, Ezra",Bryher
"Pound, Ezra","Bubb, Charles C."
"Pound, Ezra","Buchan, John"
"Pound, Ezra","Buchanan, Meriel"
"Pound, Ezra","Buchi, Joseph Henry"
"Pound, Ezra","Buck, Howard L."
"Pound, Ezra","Buck, Pearl"
"Pound, Ezra","Buffet-Picabia, Gabrielle"
"Pound, Ezra","Bunker, Gerald"
"Pound, Ezra","Bunting, Basil"
"Pound, Ezra","Burd, Mary W."
"Pound, Ezra","Burdick, Usher Lloyd"
"Pound, Ezra","Burnham, James"
"Pound, Ezra","Burr, Anna Robeson Brown"
"Pound, Ezra","Burton, Basil"
"Pound, Ezra","Burzio, Filippo"
"Pound, Ezra","Busha, Thomas C."
"Pound, Ezra","Buss, Kate"
"Pound, Ezra","Butchart, G. Reeves"
"Pound, Ezra","Butchart, Montgomery"
"Pound, Ezra","Butchart, Montgomery"
"Pound, Ezra","Butler, Nicholas Murray"
"Pound, Ezra","Buttitta, Anthony J."
"Pound, Ezra","Butts, Mary"
"Pound, Ezra","Bye, Raymond Taylor"
"Pound, Ezra","Bynner, Witter"
"Pound, Ezra","Cabella, Gian Gaetano"
"Pound, Ezra",Cadmus Bookstore
"Pound, Ezra",Caedmon Publishers
"Pound, Ezra","Caico, Lina"
"Pound, Ezra","Cairnie, Gordon"
"Pound, Ezra","Cairns, Huntington"
"Pound, Ezra","Calcagano, Tullio"
"Pound, Ezra","Callaghan, Morley"
"Pound, Ezra","Camagna, Carlo"
"Pound, Ezra","Camerino, Aldo"
"Pound, Ezra","Campbell, Joseph"
"Pound, Ezra","de Campos, Harold"
"Pound, Ezra",Canadian Broadcasting Corporation
"Pound, Ezra","Canby, Henry Seidel"
"Pound, Ezra","Capes, John"
"Pound, Ezra","Caplan, Albert"
"Pound, Ezra","Cardoza, J. B. N."
"Pound, Ezra","Carisch, A. & G."
"Pound, Ezra","Carlini, Armando"
"Pound, Ezra",Carnegie Endowment for International Peace
"Pound, Ezra","Carnevali, Emanuel"
"Pound, Ezra","Carrega, Ugo"
"Pound, Ezra","Carritt, Edgar Frederick"
"Pound, Ezra","Carruth, Hayden"
"Pound, Ezra","Cartier-Bresson, Henri"
"Pound, Ezra","Casebolt, Casey"
"Pound, Ezra","Casella, [Alfredo]"
"Pound, Ezra","Castagneto, Maria"
"Pound, Ezra","Causton, Bernard"
"Pound, Ezra","Cavallari, Roberto"
"Pound, Ezra","Cavalletti, F."
"Pound, Ezra","Cavalli, Giovanni"
"Pound, Ezra","Cavefors, Bo"
"Pound, Ezra","Caxton Printers, Ltd."
"Pound, Ezra","Cazort, Gege"
"Pound, Ezra","Cela, Camilo José"
"Pound, Ezra","Celli, John A."
"Pound, Ezra",Centro Italiano di Studi Americani (Rome)
"Pound, Ezra","Centro Culturale ""Fratelli Bronzetti"""
"Pound, Ezra",Confederazione Fascista Dei Lavoratori dell'Industria
"Pound, Ezra","Cerio, F. Ferruccio"
"Pound, Ezra","Cerruti, John M."
"Pound, Ezra","Chakravarty, Amiya Chandra"
"Pound, Ezra","Chamberlain, [Neville]"
"Pound, Ezra","Chambers, E. K."
"Pound, Ezra","Chang, Carsun"
"Pound, Ezra","Chang, Chia-sen"
"Pound, Ezra","Chao, Tze-chiang"
"Pound, Ezra","Chapman, Molly O'Fogerty"
"Pound, Ezra","Charpentier, Edouard"
"Pound, Ezra","Charlesworth, Barbara"
"Pound, Ezra","Chatel, Jean C."
"Pound, Ezra","Chatterjee, Ramananda"
"Pound, Ezra",Chatterji. Nimai
"Pound, Ezra",Chatto & Windus (London)
"Pound, Ezra","Chaudhri, D. R."
"Pound, Ezra","Chauvet, Paul"
"Pound, Ezra","Chester, Alfred"
"Pound, Ezra","Chester, Carlos Tracy"
"Pound, Ezra","Chesterton, G. K."
"Pound, Ezra",Chicago Review
"Pound, Ezra",Chicago Tribune (Paris)
"Pound, Ezra","Chigi Saracini, Guido, conte"
"Pound, Ezra","Chilanti, Filece"
"Pound, Ezra","Child, Clarence Griffin"
"Pound, Ezra","Chilesotti, Cici"
"Pound, Ezra",The Chinese Recorder
"Pound, Ezra",Chinese World
"Pound, Ezra","Chouan's, Genevieve"
"Pound, Ezra","""Christian"" (pseud)"
"Pound, Ezra","""Christian"""
"Pound, Ezra","Churchill, Edward George Spencer"
"Pound, Ezra","Churchill, Randolph Spencer"
"Pound, Ezra","Chute, Desmond"
"Pound, Ezra","Ciano, Galeazzo"
"Pound, Ezra","Ciardi, John"
"Pound, Ezra","Cinelli, Delfino"
"Pound, Ezra","Cini, Vittorio"
"Pound, Ezra","Civis, E."
"Pound, Ezra","Clarkson, Richard"
"Pound, Ezra","Clausetti, Claudio"
"Pound, Ezra","Clemens, Cyril"
"Pound, Ezra","Clermont-Tonnerre, Elisabeth (de Gramont, duchesse de)"
"Pound, Ezra","Clodd, H. Alan"
"Pound, Ezra","Coburn, Alvin Langdon"
"Pound, Ezra","Cochran, Joseph H."
"Pound, Ezra","Cockburn, Claude"
"Pound, Ezra","Cocteau, Jean"
"Pound, Ezra","Cohrssen, Hans R. L."
"Pound, Ezra","Colbourne, Maurice"
"Pound, Ezra","Cole, George Douglas Howard"
"Pound, Ezra","Cole, Tom"
"Pound, Ezra",College Poetry Society of America
"Pound, Ezra",Collier's: The National Weekly
"Pound, Ezra","Collignon, Raymonde"
"Pound, Ezra","Collins, Wilkie Nelson"
"Pound, Ezra","Colman, Kitt"
"Pound, Ezra","Colt, Byron"
"Pound, Ezra","Colum, Padraic"
"Pound, Ezra",Columbia University
"Pound, Ezra","Comfort, Howard"
"Pound, Ezra",Comitato fra gli enti di alta cultura (Florence)
"Pound, Ezra",Committee for the Nation
"Pound, Ezra",Common Sense
"Pound, Ezra",Connecticut American
"Pound, Ezra","Contri, Siro"
"Pound, Ezra","Conner, Bruce"
"Pound, Ezra","Connolly, Cyril"
"Pound, Ezra","Connolly, Thomas Edmund"
"Pound, Ezra","Conrad, Joseph"
"Pound, Ezra",Contact (New York)
"Pound, Ezra",Contact Editions
"Pound, Ezra",Contempo
"Pound, Ezra",Contemporary Poetry and Prose
"Pound, Ezra","Contini, Ennio"
"Pound, Ezra","Cookson, William"
"Pound, Ezra","Cooper, Diana Manners, Viscountess Norwich"
"Pound, Ezra","Cooper, Julian"
"Pound, Ezra","Cope, Sarah Perkins"
"Pound, Ezra","Corke, Helen"
"Pound, Ezra","Cornell, Julien D."
"Pound, Ezra","Cornfield, Silas"
"Pound, Ezra","Coronel Urtecho, Jose"
"Pound, Ezra",Corriere Mercantile
"Pound, Ezra",Corvina
"Pound, Ezra","Cory, Daniel"
"Pound, Ezra","Cosciu, Dante"
"Pound, Ezra","Cosco, Giuseppina Sperandeo"
"Pound, Ezra","Coselschi, Eugenio"
"Pound, Ezra","Cosgrave, John O'Hara"
"Pound, Ezra","Coughlin, Charles, Rev."
"Pound, Ezra","Coulson, Richard"
"Pound, Ezra","Cournos, John"
"Pound, Ezra","Courtney, William Leonard"
"Pound, Ezra","Covici, Friede, Inc."
